Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,StartTimeOnSet,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward,EndTimeOnSet
1.0,Right,2.0,30.0,0,0.0,726.0,869.0,887.0,1952.0,2971.0,3020.0,3003.0,3030.0,3135.0,4152.0,0.0,3302
2.0,Right,2.0,-15.0,6322,0.0,709.0,732.0,752.0,1815.0,2834.0,2879.0,3688.0,,,4514.0,0.0,10108
3.0,Right,2.0,7.5,14578,0.0,720.0,2165.0,2182.0,3269.0,4287.0,4331.0,5481.0,5504.0,5604.0,6621.0,0.0,19009
4.0,Right,2.0,15.0,22692,0.0,699.0,1403.0,1420.0,2482.0,3499.0,3543.0,5601.0,5624.0,5726.0,6746.0,0.0,28032
5.0,DurationTime,2.0,-60.0,31041,0.0,716.0,738.0,752.0,1811.0,,,,,,2625.0,0.0,32937
6.0,Right,2.0,60.0,41341,0.0,728.0,6123.0,6140.0,7204.0,8222.0,8268.0,9396.0,9420.0,9522.0,10542.0,0.0,45784
7.0,Right,2.0,-30.0,48808,0.0,715.0,739.0,755.0,1823.0,2842.0,2888.0,4379.0,,,5205.0,0.0,53265
8.0,Right,2.0,-7.5,56251,0.0,690.0,714.0,727.0,1790.0,2809.0,2854.0,4029.0,,,4852.0,0.0,60395
9.0,DurationTime,2.0,-60.0,63381,0.0,688.0,710.0,725.0,1793.0,,,,,,2606.0,0.0,65269
10.0,Left,2.0,-60.0,71298,0.0,696.0,3730.0,3750.0,4811.0,5831.0,5875.0,6742.0,6766.0,,7954.0,0.0,75513
11.0,Right,2.0,15.0,80338,0.0,691.0,2546.0,2566.0,3626.0,4643.0,4690.0,6097.0,6120.0,6222.0,7236.0,0.0,85018
12.0,Right,2.0,-7.5,88015,0.0,689.0,712.0,730.0,1792.0,2814.0,2857.0,3894.0,,,4718.0,0.0,92021
13.0,Right,2.0,7.5,95006,0.0,692.0,717.0,731.0,1794.0,2811.0,2858.0,4049.0,4072.0,4173.0,5191.0,0.0,99493
14.0,Left,2.0,-30.0,102525,0.0,729.0,753.0,769.0,1830.0,2847.0,2892.0,3855.0,3877.0,,5069.0,0.0,106846
15.0,Left,2.0,-15.0,109845,0.0,693.0,716.0,726.0,1794.0,2812.0,2857.0,4026.0,4049.0,,5237.0,0.0,114368
16.0,Right,2.0,30.0,117392,0.0,712.0,735.0,748.0,1818.0,2836.0,2882.0,3912.0,3935.0,4036.0,5055.0,0.0,121699
17.0,Right,2.0,60.0,124703,0.0,694.0,717.0,735.0,1795.0,2814.0,2860.0,3480.0,3503.0,3605.0,4621.0,0.0,128605
18.0,DurationTime,2.0,-60.0,131641,0.0,734.0,757.0,772.0,1829.0,,,,,,2642.0,0.0,133535
19.0,Left,2.0,-60.0,137338,0.0,699.0,1533.0,1551.0,2610.0,3626.0,3675.0,4635.0,4659.0,,5846.0,0.0,141655
20.0,Right,2.0,7.5,144642,0.0,690.0,713.0,734.0,1788.0,2807.0,2853.0,3603.0,3626.0,3726.0,4745.0,0.0,148678
21.0,Right,2.0,60.0,151701,0.0,718.0,741.0,756.0,1823.0,2838.0,2887.0,3733.0,3757.0,3859.0,4875.0,0.0,155828
22.0,Right,2.0,-15.0,158850,0.0,712.0,736.0,752.0,1819.0,2838.0,2884.0,3680.0,,,4501.0,0.0,162609
23.0,Left,2.0,-60.0,165642,0.0,728.0,749.0,766.0,1824.0,2840.0,2883.0,3718.0,3741.0,,4925.0,0.0,169819
24.0,Left,2.0,-7.5,172802,0.0,694.0,716.0,729.0,1794.0,2813.0,2853.0,4209.0,4232.0,,5419.0,0.0,177519
25.0,Right,2.0,-30.0,180533,0.0,705.0,729.0,748.0,1813.0,2831.0,2878.0,3673.0,,,4497.0,0.0,184294
26.0,Right,2.0,15.0,187298,0.0,703.0,726.0,742.0,1806.0,2820.0,2870.0,3430.0,3453.0,3556.0,4573.0,0.0,191139
27.0,Right,2.0,30.0,194174,0.0,725.0,745.0,762.0,1826.0,2843.0,2889.0,4255.0,4279.0,4380.0,5397.0,0.0,198821
28.0,Right,2.0,15.0,201826,0.0,713.0,733.0,750.0,1809.0,2831.0,2872.0,3553.0,3576.0,3679.0,4694.0,0.0,205789
29.0,Left,2.0,-30.0,208790,0.0,690.0,714.0,733.0,1795.0,2812.0,2858.0,3655.0,3678.0,,4865.0,0.0,212938
30.0,Left,2.0,-60.0,215957,0.0,717.0,738.0,753.0,1821.0,2839.0,2885.0,3758.0,3781.0,,4973.0,0.0,220187
31.0,Right,2.0,-7.5,223194,0.0,699.0,722.0,738.0,1799.0,2816.0,2863.0,3604.0,,,4428.0,0.0,226899
32.0,Left,2.0,7.5,229901,0.0,696.0,720.0,738.0,1800.0,2819.0,2861.0,3772.0,,,4598.0,0.0,233770
33.0,Right,2.0,30.0,236761,0.0,690.0,712.0,725.0,1788.0,2802.0,2848.0,3608.0,3632.0,3734.0,4749.0,0.0,240803
34.0,DurationTime,2.0,-15.0,245415,0.0,708.0,2332.0,2348.0,3409.0,,,,,,4224.0,0.0,247305
35.0,Right,2.0,60.0,250313,0.0,702.0,723.0,738.0,1804.0,2824.0,2875.0,2855.0,2888.0,2990.0,4006.0,0.0,253593
36.0,Left,2.0,-15.0,256622,0.0,728.0,751.0,772.0,1830.0,2849.0,2892.0,4345.0,4368.0,,5556.0,0.0,261422
37.0,Left,2.0,30.0,264431,0.0,712.0,733.0,747.0,1809.0,2828.0,2873.0,4004.0,,,4830.0,0.0,268536
38.0,Right,2.0,-60.0,271530,0.0,686.0,709.0,724.0,1787.0,2805.0,2853.0,3600.0,,,4424.0,0.0,275234
39.0,Right,2.0,15.0,278232,0.0,693.0,714.0,729.0,1793.0,2810.0,2857.0,3589.0,3612.0,3714.0,4731.0,0.0,282239
40.0,Left,2.0,-30.0,285270,0.0,711.0,734.0,752.0,1814.0,2831.0,2876.0,3743.0,3766.0,,4956.0,0.0,289481
41.0,Left,2.0,7.5,293210,0.0,698.0,1452.0,1469.0,2530.0,3548.0,3592.0,4492.0,,,5319.0,0.0,297085
42.0,Left,2.0,-7.5,300091,0.0,701.0,725.0,736.0,1800.0,2818.0,2864.0,3894.0,3917.0,,5109.0,0.0,304472
43.0,Left,2.0,-15.0,307475,0.0,693.0,716.0,731.0,1794.0,2814.0,2858.0,3854.0,3877.0,,5062.0,0.0,311815
44.0,Right,2.0,60.0,314837,0.0,718.0,739.0,757.0,1818.0,2836.0,2883.0,3000.0,3024.0,3126.0,4143.0,0.0,318242
45.0,Right,2.0,-60.0,321231,0.0,694.0,718.0,732.0,1794.0,2815.0,2859.0,3728.0,,,4553.0,0.0,325070
46.0,Right,2.0,-15.0,328075,0.0,693.0,713.0,727.0,1797.0,2816.0,2861.0,3538.0,,,4358.0,0.0,331710
47.0,Left,2.0,30.0,334717,0.0,700.0,724.0,740.0,1808.0,2825.0,2871.0,3589.0,,,4413.0,0.0,338396
48.0,Right,2.0,7.5,341408,0.0,710.0,730.0,746.0,1806.0,2823.0,2873.0,4016.0,4039.0,4142.0,5156.0,0.0,345835
49.0,Right,2.0,60.0,348930,0.0,704.0,811.0,827.0,1888.0,2905.0,2952.0,3924.0,3947.0,4050.0,5066.0,0.0,353190
50.0,Left,2.0,-30.0,356238,0.0,733.0,757.0,770.0,1844.0,2860.0,2909.0,3620.0,3643.0,,4834.0,0.0,360299
51.0,Left,2.0,-7.5,369407,0.0,701.0,6825.0,6846.0,7908.0,8926.0,8969.0,9562.0,9585.0,,10773.0,0.0,373347
52.0,Left,2.0,15.0,376363,0.0,704.0,727.0,742.0,1809.0,2827.0,2874.0,4117.0,,,4941.0,0.0,380578
53.0,Right,2.0,-15.0,383567,0.0,691.0,715.0,730.0,1793.0,2812.0,2857.0,4109.0,,,4931.0,0.0,387874
54.0,Right,2.0,7.5,390812,0.0,714.0,738.0,756.0,1817.0,2835.0,2882.0,3267.0,3290.0,3393.0,4408.0,0.0,394479
55.0,Left,2.0,15.0,397479,0.0,696.0,720.0,735.0,1801.0,2819.0,2866.0,3851.0,,,4675.0,0.0,401434
56.0,Left,2.0,-7.5,404463,0.0,726.0,749.0,763.0,1832.0,2850.0,2896.0,3758.0,3781.0,,4971.0,0.0,408714
57.0,Right,2.0,-30.0,411712,0.0,694.0,715.0,730.0,1797.0,2815.0,2861.0,5202.0,,,6028.0,0.0,417012
58.0,DurationTime,2.0,60.0,420553,0.0,725.0,1249.0,1268.0,2331.0,,,,,,3147.0,0.0,422472
59.0,Left,2.0,-60.0,455692,0.0,724.0,9009.0,9028.0,10087.0,11100.0,11150.0,11974.0,11997.0,,13183.0,0.0,459871
60.0,Left,2.0,30.0,462901,0.0,722.0,746.0,762.0,1829.0,2846.0,2892.0,3635.0,,,4459.0,0.0,466641
61.0,Right,2.0,60.0,469639,0.0,697.0,720.0,740.0,1796.0,2814.0,2860.0,3599.0,3623.0,3725.0,4743.0,0.0,473668
62.0,Left,2.0,-15.0,476684,0.0,710.0,733.0,747.0,1811.0,2829.0,2875.0,3701.0,3724.0,,4913.0,0.0,480864
63.0,Right,2.0,-30.0,483864,0.0,698.0,722.0,738.0,1799.0,2819.0,2860.0,3697.0,,,4519.0,0.0,487663
64.0,Right,2.0,-7.5,490698,0.0,722.0,745.0,760.0,1824.0,2840.0,2889.0,3835.0,,,4662.0,0.0,494604
65.0,Right,2.0,60.0,497643,0.0,730.0,753.0,765.0,1834.0,2851.0,2893.0,3681.0,3704.0,3807.0,4823.0,0.0,501749
66.0,Right,2.0,15.0,504749,0.0,696.0,720.0,738.0,1795.0,2813.0,2858.0,3736.0,3760.0,3862.0,4880.0,0.0,508911
67.0,Left,2.0,7.5,513134,0.0,695.0,1939.0,1964.0,3024.0,4042.0,4088.0,4966.0,,,5792.0,0.0,516983
68.0,Right,2.0,30.0,519983,0.0,696.0,722.0,738.0,1803.0,2820.0,2868.0,3530.0,3554.0,3656.0,4673.0,0.0,523928
69.0,Left,2.0,-60.0,526963,0.0,730.0,752.0,768.0,1827.0,2847.0,2891.0,3703.0,3727.0,,4919.0,0.0,531126
70.0,Right,2.0,30.0,534155,0.0,727.0,750.0,764.0,1828.0,2843.0,2892.0,3729.0,3752.0,3855.0,4871.0,0.0,538281
71.0,Left,2.0,-30.0,541288,0.0,701.0,724.0,742.0,1809.0,2826.0,2872.0,3759.0,3782.0,,4971.0,0.0,545529
72.0,Right,2.0,-15.0,548568,0.0,736.0,758.0,776.0,1844.0,2858.0,2904.0,3756.0,,,4583.0,0.0,552388
73.0,Right,2.0,60.0,555418,0.0,722.0,745.0,759.0,1828.0,2846.0,2893.0,3714.0,3737.0,3840.0,4857.0,0.0,559525
74.0,Right,2.0,15.0,564034,0.0,695.0,2229.0,2250.0,3302.0,4320.0,4366.0,5519.0,5542.0,5642.0,6661.0,0.0,568467
75.0,Left,2.0,-7.5,571496,0.0,729.0,753.0,767.0,1830.0,2847.0,2894.0,3640.0,3663.0,,4849.0,0.0,575591
76.0,Left,2.0,-60.0,578614,0.0,725.0,748.0,762.0,1823.0,2841.0,2885.0,3692.0,3715.0,,4901.0,0.0,582776
77.0,Right,2.0,7.5,585784,0.0,712.0,731.0,742.0,1814.0,2829.0,2878.0,3672.0,3695.0,3798.0,4814.0,0.0,589864
78.0,Left,2.0,-30.0,592895,0.0,734.0,754.0,770.0,1835.0,2853.0,2900.0,3743.0,3767.0,,4952.0,0.0,597097
79.0,Left,2.0,-15.0,600571,0.0,719.0,1191.0,1204.0,2270.0,3303.0,3342.0,4170.0,4193.0,,5381.0,0.0,604759
80.0,Right,2.0,30.0,607783,0.0,722.0,741.0,755.0,1822.0,2840.0,2893.0,3932.0,3955.0,4057.0,5076.0,0.0,612119
81.0,Right,2.0,-7.5,615128,0.0,715.0,737.0,753.0,1813.0,2830.0,2877.0,3667.0,,,4488.0,0.0,618884
82.0,Left,2.0,-60.0,621889,0.0,702.0,724.0,737.0,1805.0,2823.0,2869.0,3722.0,3745.0,,4936.0,0.0,626103
83.0,Right,2.0,7.5,629145,0.0,733.0,756.0,775.0,1845.0,2862.0,2909.0,3605.0,3628.0,3731.0,4750.0,0.0,633125
84.0,Right,2.0,60.0,637415,0.0,731.0,2005.0,2023.0,3089.0,4106.0,4149.0,5203.0,5226.0,5329.0,6346.0,0.0,641756
85.0,Right,2.0,15.0,644784,0.0,728.0,751.0,765.0,1829.0,2848.0,2892.0,3517.0,3540.0,3643.0,4660.0,0.0,648700
86.0,Right,2.0,-15.0,651688,0.0,693.0,717.0,735.0,1793.0,2810.0,2859.0,3507.0,,,4331.0,0.0,655317
87.0,Right,2.0,-7.5,658314,0.0,701.0,723.0,741.0,1797.0,2813.0,2861.0,3766.0,,,4592.0,0.0,662181
88.0,Right,2.0,60.0,665195,0.0,699.0,723.0,737.0,1803.0,2820.0,2869.0,3538.0,3561.0,3664.0,4681.0,0.0,669148
89.0,Left,2.0,-60.0,672168,0.0,720.0,742.0,759.0,1822.0,2843.0,2887.0,3831.0,3855.0,,5044.0,0.0,676471
90.0,Right,2.0,7.5,679480,0.0,707.0,730.0,743.0,1810.0,2826.0,2873.0,3649.0,3673.0,3773.0,4791.0,0.0,683543
91.0,Right,2.0,15.0,686584,0.0,729.0,753.0,772.0,1836.0,2855.0,2900.0,3815.0,3837.0,3938.0,4955.0,0.0,690781
92.0,Right,2.0,30.0,693783,0.0,701.0,724.0,738.0,1803.0,2824.0,2868.0,3780.0,3804.0,3906.0,4927.0,0.0,698021
93.0,Left,2.0,-30.0,701044,0.0,716.0,740.0,762.0,1824.0,2842.0,2888.0,3565.0,3588.0,,4797.0,0.0,705099
94.0,Left,2.0,7.5,708961,0.0,726.0,1570.0,1594.0,2656.0,3676.0,3720.0,4848.0,,,5672.0,0.0,713055
95.0,Right,2.0,60.0,716080,0.0,719.0,741.0,755.0,1822.0,2836.0,2886.0,3779.0,3803.0,3905.0,4922.0,0.0,720249
96.0,Right,2.0,30.0,723284,0.0,721.0,745.0,761.0,1823.0,2839.0,2887.0,3708.0,3731.0,3834.0,4852.0,0.0,727386
97.0,Left,2.0,-15.0,730373,0.0,688.0,710.0,721.0,1794.0,2812.0,2860.0,3662.0,3685.0,,4894.0,0.0,734559
