Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
1,1,1,0000000000001,0000000000001,0,1895
2,2,2,0000000000010,0000000000010,5101,6988
3,2,2,0000000000011,0000000000010,10482,13623
4,4,4,0000000000100,0000000000100,16631,18527
5,4,4,0000000000101,0000000000100,21558,26131
6,4,4,0000000000110,0000000000100,29151,33170
7,4,4,0000000000111,0000000000100,36174,39953
8,8,8,0000000001000,0000000001000,42995,47023
9,8,8,0000000001001,0000000001000,50050,54783
10,8,8,0000000001010,0000000001000,57803,61423
11,8,8,0000000001011,0000000001000,64459,68646
12,8,8,0000000001100,0000000001000,71691,73574
13,8,8,0000000001101,0000000001000,77317,81111
14,8,8,0000000001110,0000000001000,84115,88546
15,8,8,0000000001111,0000000001000,91568,95304
16,16,16,0000000010000,0000000010000,98309,102490
17,16,16,0000000010001,0000000010000,105496,109657
18,16,16,0000000010010,0000000010000,112651,116989
19,16,16,0000000010011,0000000010000,119991,124493
20,16,16,0000000010100,0000000010000,127502,131675
21,16,16,0000000010101,0000000010000,134684,138661
22,16,16,0000000010110,0000000010000,141688,145849
23,16,16,0000000010111,0000000010000,148873,152850
24,16,16,0000000011000,0000000010000,155877,160205
25,24,16,0000000011001,0000000011000,163215,167039
26,16,16,0000000011010,0000000010000,170038,174341
27,16,16,0000000011011,0000000010000,177344,181640
28,16,16,0000000011100,0000000010000,184645,188628
29,16,16,0000000011101,0000000010000,191650,195861
30,16,16,0000000011110,0000000010000,198884,203360
31,16,16,0000000011111,0000000010000,206348,210511
32,32,32,0000000100000,0000000100000,213539,217680
33,32,32,0000000100001,0000000100000,220690,224556
34,32,32,0000000100010,0000000100000,227596,231756
35,34,32,0000000100011,0000000100010,234803,239257
36,32,32,0000000100100,0000000100000,242265,246342
37,32,32,0000000100101,0000000100000,249329,253057
38,34,32,0000000100110,0000000100010,256088,260513
39,32,32,0000000100111,0000000100000,263548,267394
40,40,32,0000000101000,0000000101000,273702,277597
41,40,32,0000000101001,0000000101000,280587,284680
42,40,32,0000000101010,0000000101000,292273,294163
43,40,32,0000000101011,0000000101000,297212,301391
44,32,32,0000000101100,0000000100000,307293,309190
45,32,32,0000000101101,0000000100000,314092,318597
46,34,32,0000000101110,0000000100010,321620,325701
