Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,DurationTime,10.0,60.0,2.0,265.0,18191.0,18212.0,19282.0,,,,,,20098.0,0.0
2.0,DurationTime,2.0,-7.5,0.0,719.0,1002.0,1018.0,2087.0,,,,,,2901.0,0.0
3.0,DurationTime,10.0,-7.5,0.0,242.0,264.0,275.0,1351.0,,,,,,2161.0,0.0
4.0,DurationTime,10.0,-30.0,1.0,454.0,1328.0,1345.0,2408.0,,,,,,3221.0,0.0
5.0,DurationTime,10.0,-7.5,1.0,425.0,2938.0,2957.0,4016.0,,,,,,4830.0,0.0
6.0,DurationTime,10.0,-15.0,0.0,267.0,1951.0,1967.0,3026.0,,,,,,3842.0,0.0
7.0,DurationTime,10.0,60.0,0.0,468.0,4592.0,4608.0,5667.0,,,,,,6481.0,0.0
8.0,Right,10.0,60.0,0.0,274.0,297.0,308.0,1380.0,2401.0,2457.0,3729.0,3756.0,3858.0,4877.0,0.0
9.0,Left,2.0,-60.0,0.0,699.0,722.0,739.0,1800.0,2818.0,2865.0,3584.0,3608.0,,4818.0,0.0
10.0,Right,10.0,15.0,0.0,457.0,481.0,496.0,1563.0,2579.0,2625.0,3780.0,3804.0,3902.0,4919.0,0.0
11.0,Right,10.0,-15.0,0.0,441.0,462.0,477.0,1549.0,2565.0,2613.0,3469.0,,,4293.0,0.0
12.0,Left,2.0,15.0,0.0,694.0,718.0,735.0,1796.0,2813.0,2860.0,3727.0,,,4551.0,0.0
13.0,Right,2.0,7.5,0.0,720.0,743.0,762.0,1817.0,2832.0,2879.0,3785.0,3809.0,3910.0,4934.0,0.0
14.0,Left,10.0,-7.5,0.0,267.0,290.0,302.0,1377.0,2396.0,2439.0,3321.0,3345.0,,4552.0,0.0
15.0,Right,10.0,30.0,0.0,452.0,475.0,492.0,1562.0,2579.0,2626.0,3494.0,3518.0,3620.0,4639.0,0.0
16.0,Right,2.0,60.0,0.0,686.0,709.0,725.0,1789.0,2806.0,2855.0,3743.0,3766.0,3865.0,4882.0,0.0
17.0,Right,2.0,30.0,0.0,729.0,750.0,767.0,1826.0,2844.0,2890.0,3862.0,3886.0,3988.0,5002.0,0.0
18.0,Left,10.0,-60.0,0.0,452.0,476.0,491.0,1563.0,2580.0,2629.0,3552.0,3575.0,,4785.0,0.0
19.0,Left,10.0,7.5,0.0,264.0,288.0,299.0,1376.0,2392.0,2441.0,3491.0,,,4313.0,0.0
20.0,Right,2.0,-30.0,0.0,703.0,727.0,742.0,1808.0,2824.0,2874.0,3824.0,,,4650.0,0.0
21.0,Left,10.0,-30.0,0.0,437.0,460.0,476.0,1549.0,2566.0,2614.0,3593.0,3616.0,,4825.0,0.0
