Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,StartTimeOnSet,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward,EndTimeOnSet
1.0,Left,2.0,-30.0,0,1.0,708.0,1190.0,1206.0,2270.0,3289.0,3341.0,3855.0,3880.0,,5054.0,0.0,3859
2.0,Left,2.0,-15.0,6865,0.0,707.0,729.0,744.0,1807.0,2823.0,2870.0,3499.0,3523.0,,4698.0,0.0,10866
3.0,Left,2.0,-7.5,13892,0.0,715.0,738.0,751.0,1816.0,2834.0,2880.0,3549.0,3572.0,,4760.0,0.0,17933
4.0,Right,2.0,60.0,20942,0.0,713.0,733.0,750.0,1808.0,2824.0,2874.0,3499.0,3520.0,3624.0,4643.0,0.0,24856
5.0,Left,2.0,-60.0,27861,0.0,701.0,720.0,734.0,1803.0,2822.0,2868.0,3613.0,3636.0,,4826.0,0.0,31989
6.0,Right,2.0,30.0,35009,0.0,714.0,738.0,759.0,1815.0,2834.0,2880.0,3647.0,3671.0,3772.0,4790.0,0.0,39063
7.0,Right,2.0,7.5,42064,0.0,700.0,722.0,739.0,1799.0,2815.0,2862.0,3558.0,3582.0,3681.0,4701.0,0.0,46041
8.0,Right,2.0,15.0,49044,0.0,696.0,720.0,732.0,1803.0,2819.0,2867.0,3583.0,3608.0,3710.0,4727.0,0.0,53054
9.0,Left,2.0,-15.0,56077,0.0,730.0,752.0,770.0,1831.0,2849.0,2897.0,3596.0,3620.0,,4810.0,0.0,60137
10.0,Right,2.0,30.0,63141,0.0,696.0,719.0,735.0,1800.0,2820.0,2865.0,3476.0,3499.0,3602.0,4618.0,0.0,67036
11.0,Left,2.0,-7.5,70026,0.0,687.0,710.0,730.0,1789.0,2806.0,2853.0,3420.0,3443.0,,4635.0,0.0,73946
