Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,Right,2.0,60.0,17.0,709.0,20712.0,20737.0,21801.0,22824.0,22878.0,23468.0,23494.0,23592.0,24610.0,0.0
2.0,Right,2.0,-30.0,0.0,712.0,1103.0,1118.0,2210.0,3226.0,3275.0,4846.0,,,5672.0,0.0
3.0,Right,2.0,15.0,0.0,715.0,738.0,753.0,1820.0,2841.0,2885.0,3989.0,4012.0,4115.0,5133.0,0.0
4.0,Right,2.0,30.0,0.0,732.0,755.0,772.0,1838.0,2856.0,2903.0,3580.0,3603.0,3702.0,4718.0,0.0
5.0,Right,2.0,7.5,0.0,686.0,1438.0,1453.0,2521.0,3538.0,3586.0,4326.0,4349.0,4452.0,5470.0,0.0
6.0,Right,2.0,-7.5,0.0,692.0,797.0,816.0,1868.0,2883.0,2933.0,3660.0,,,4486.0,0.0
7.0,Left,2.0,-15.0,0.0,737.0,760.0,775.0,1841.0,2857.0,2906.0,3724.0,3748.0,,4915.0,0.0
8.0,DurationTime,2.0,-60.0,0.0,715.0,738.0,755.0,1812.0,,,,,,2626.0,0.0
9.0,DurationTime,2.0,-60.0,0.0,706.0,729.0,745.0,1811.0,,,,,,2624.0,0.0
10.0,Right,2.0,-60.0,0.0,690.0,2304.0,2322.0,3389.0,4407.0,4454.0,6185.0,,,7011.0,0.0
11.0,Right,2.0,-60.0,0.0,690.0,714.0,728.0,1783.0,2800.0,2847.0,4472.0,,,5297.0,0.0
12.0,Right,2.0,-7.5,0.0,718.0,743.0,760.0,1825.0,2842.0,2889.0,4075.0,,,4899.0,0.0
13.0,Right,2.0,60.0,0.0,731.0,751.0,768.0,1831.0,2848.0,2895.0,3906.0,3929.0,4030.0,5046.0,0.0
14.0,Left,2.0,-30.0,0.0,734.0,1378.0,1397.0,2458.0,3474.0,3530.0,3509.0,3543.0,,4712.0,0.0
