Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
1,2,1,0000000000001,0000000000010,0,3847
2,4,2,0000000000010,0000000000100,6405,10398
3,4,2,0000000000011,0000000000100,13397,16957
4,4,4,0000000000100,0000000000100,19537,21461
5,4,4,0000000000101,0000000000100,24032,27309
6,8,4,0000000000110,0000000001000,30071,34052
7,8,4,0000000000111,0000000001000,36633,38526
8,8,8,0000000001000,0000000001000,41104,44898
9,8,8,0000000001001,0000000001000,47459,51218
10,8,8,0000000001010,0000000001000,54219,57651
11,8,8,0000000001011,0000000001000,60663,63865
12,8,8,0000000001100,0000000001000,66895,70638
13,8,8,0000000001101,0000000001000,73641,77360
14,16,8,0000000001110,0000000010000,80120,83812
15,16,8,0000000001111,0000000010000,86834,90111
16,16,16,0000000010000,0000000010000,93125,96756
17,16,16,0000000010001,0000000010000,99339,103103
18,16,16,0000000010010,0000000010000,106763,110709
19,16,16,0000000010011,0000000010000,113719,117544
20,16,16,0000000010100,0000000010000,120125,124147
21,16,16,0000000010101,0000000010000,127151,130915
22,16,16,0000000010110,0000000010000,133939,137653
23,16,16,0000000010111,0000000010000,140412,144876
24,16,16,0000000011000,0000000010000,147896,149791
25,16,16,0000000011001,0000000010000,152583,156927
26,16,16,0000000011010,0000000010000,159939,163646
27,16,16,0000000011011,0000000010000,170445,174261
28,16,16,0000000011100,0000000010000,176811,179804
29,16,16,0000000011101,0000000010000,182796,186189
30,32,16,0000000011110,0000000100000,188780,192131
31,32,16,0000000011111,0000000100000,195052,198984
32,34,32,0000000100000,0000000100010,201557,205069
33,34,32,0000000100001,0000000100010,208069,211503
34,32,32,0000000100010,0000000100000,217038,220429
35,32,32,0000000100011,0000000100000,223652,227425
36,34,32,0000000100100,0000000100010,230185,234276
37,34,32,0000000100101,0000000100010,242242,246241
38,40,32,0000000100110,0000000101000,249244,253050
39,40,32,0000000100111,0000000101000,256090,259910
40,40,32,0000000101000,0000000101000,262474,266175
41,40,32,0000000101001,0000000101000,269170,273153
42,32,32,0000000101010,0000000100000,275733,279025
43,32,32,0000000101011,0000000100000,281777,286069
44,34,32,0000000101100,0000000100010,289065,292344
45,32,32,0000000101101,0000000100000,295096,296997
46,32,32,0000000101110,0000000100000,299578,302546
47,32,32,0000000101111,0000000100000,305548,308832
48,34,32,0000000110000,0000000100010,311614,314893
49,34,32,0000000110001,0000000100010,318174,320057
50,32,32,0000000110010,0000000100000,322628,324523
51,32,32,0000000110011,0000000100000,327564,331317
52,34,32,0000000110100,0000000100010,339254,342983
53,32,32,0000000110101,0000000100000,345744,349097
54,40,32,0000000110110,0000000101000,352090,356153
55,32,32,0000000110111,0000000100000,358914,362198
56,40,32,0000000111000,0000000101000,366345,369879
57,40,32,0000000111001,0000000101000,373788,375673
58,40,32,0000000111010,0000000101000,379148,381049
59,32,32,0000000111011,0000000100000,384897,389201
60,34,32,0000000111100,0000000100010,392638,396157
61,32,32,0000000111101,0000000100000,399157,402122
62,64,32,0000000111110,0000001000000,404701,408614
63,64,32,0000000111111,0000001000000,411165,413059
64,64,64,0000001000000,0000001000000,417528,423475
65,64,64,0000001000001,0000001000000,426025,429901
66,64,64,0000001000010,0000001000000,433454,436869
67,64,64,0000001000011,0000001000000,440010,441906
68,64,64,0000001000100,0000001000000,444929,446821
69,64,64,0000001000101,0000001000000,449842,453945
70,64,64,0000001000110,0000001000000,456937,460015
71,64,64,0000001000111,0000001000000,463025,466018
72,64,64,0000001001000,0000001000000,468819,470738
73,64,64,0000001001001,0000001000000,473494,477402
74,64,64,0000001001010,0000001000000,480302,484125
75,64,64,0000001001011,0000001000000,487147,491169
76,64,64,0000001001100,0000001000000,493742,496736
77,64,64,0000001001101,0000001000000,500686,502566
78,64,64,0000001001110,0000001000000,505259,507153
79,64,64,0000001001111,0000001000000,509725,512718
80,64,64,0000001010000,0000001000000,515698,517589
81,64,64,0000001010001,0000001000000,520361,523876
82,64,64,0000001010010,0000001000000,526894,530157
83,64,64,0000001010011,0000001000000,532932,537642
84,64,64,0000001010100,0000001000000,540764,544145
85,64,64,0000001010101,0000001000000,547137,550902
86,64,64,0000001010110,0000001000000,553905,557607
87,64,64,0000001010111,0000001000000,564346,568248
88,64,64,0000001011000,0000001000000,571658,574963
89,64,64,0000001011001,0000001000000,578205,581581
90,64,64,0000001011010,0000001000000,589254,592622
91,64,64,0000001011011,0000001000000,599442,603216
92,64,64,0000001011100,0000001000000,607954,611528
93,64,64,0000001011101,0000001000000,614446,618379
94,64,64,0000001011110,0000001000000,623419,626384
95,64,64,0000001011111,0000001000000,629386,632966
96,66,64,0000001100000,0000001000010,635739,639656
97,64,64,0000001100001,0000001000000,642666,647779
98,64,64,0000001100010,0000001000000,655928,659387
99,64,64,0000001100011,0000001000000,662418,665752
100,66,64,0000001100100,0000001000010,668757,671711
101,66,64,0000001100101,0000001000010,675129,679946
102,72,64,0000001100110,0000001001000,684684,688071
103,72,64,0000001100111,0000001001000,690844,692737
104,72,64,0000001101000,0000001001000,695768,700390
105,64,64,0000001101001,0000001000000,703152,706904
106,64,64,0000001101010,0000001000000,710925,714663
107,64,64,0000001101011,0000001000000,717663,719548
108,64,64,0000001101100,0000001000000,722306,724211
109,64,64,0000001101101,0000001000000,726783,730148
110,64,64,0000001101110,0000001000000,732919,737036
111,64,64,0000001101111,0000001000000,739786,741680
112,66,64,0000001110000,0000001000010,744681,746573
113,66,64,0000001110001,0000001000010,749573,753295
114,64,64,0000001110010,0000001000000,760457,764251
115,64,64,0000001110011,0000001000000,767921,772027
116,66,64,0000001110100,0000001000010,776217,778139
117,66,64,0000001110101,0000001000010,780901,782792
118,72,64,0000001110110,0000001001000,786147,789774
119,72,64,0000001110111,0000001001000,792338,795858
120,72,64,0000001111000,0000001001000,798852,802802
121,66,64,0000001111001,0000001000010,806293,810540
122,64,64,0000001111010,0000001000000,813279,816559
123,64,64,0000001111011,0000001000000,819552,823554
124,66,64,0000001111100,0000001000010,826547,831079
125,64,64,0000001111101,0000001000000,833959,837324
126,128,64,0000001111110,0000010000000,842695,846569
127,128,64,0000001111111,0000010000000,849338,852299
128,128,128,0000010000000,0000010000000,855331,859274
129,128,128,0000010000001,0000010000000,862295,866498
130,128,128,0000010000010,0000010000000,870990,874874
131,128,128,0000010000011,0000010000000,877875,881360
132,128,128,0000010000100,0000010000000,884119,886011
133,128,128,0000010000101,0000010000000,888782,890676
134,128,128,0000010000110,0000010000000,895274,897158
135,128,128,0000010000111,0000010000000,899732,903702
136,128,128,0000010001000,0000010000000,906705,910386
137,128,128,0000010001001,0000010000000,914767,918732
138,128,128,0000010001010,0000010000000,923032,927055
139,128,128,0000010001011,0000010000000,929818,933772
140,128,128,0000010001100,0000010000000,937007,940840
141,128,128,0000010001101,0000010000000,948819,952297
142,128,128,0000010001110,0000010000000,962648,964539
