Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,Right,2.0,-7.5,1.0,743.0,6437.0,6460.0,7527.0,8550.0,8603.0,9094.0,,,9927.0,0.0
2.0,Right,2.0,15.0,0.0,728.0,750.0,764.0,1828.0,2846.0,2894.0,2937.0,2958.0,3064.0,4082.0,0.0
3.0,Right,2.0,7.5,0.0,730.0,1003.0,1016.0,2077.0,3095.0,3142.0,5563.0,5586.0,5689.0,6710.0,0.0
4.0,DurationTime,2.0,60.0,0.0,718.0,740.0,751.0,1817.0,,,,,,2625.0,0.0
5.0,Left,2.0,-30.0,0.0,698.0,722.0,740.0,1804.0,2823.0,2868.0,3174.0,3198.0,,4367.0,0.0
6.0,Right,2.0,30.0,0.0,738.0,898.0,909.0,1977.0,2998.0,3043.0,3301.0,3325.0,3429.0,4446.0,0.0
7.0,Left,2.0,-60.0,0.0,733.0,757.0,772.0,1835.0,2852.0,2901.0,2894.0,2923.0,,4091.0,0.0
8.0,Right,2.0,60.0,0.0,697.0,719.0,733.0,1798.0,2812.0,2868.0,2849.0,2884.0,2981.0,3996.0,0.0
9.0,Left,2.0,-15.0,0.0,705.0,729.0,743.0,1811.0,2830.0,2883.0,2863.0,2896.0,,4063.0,0.0
10.0,Right,2.0,-7.5,0.0,698.0,722.0,735.0,1803.0,2821.0,2868.0,3380.0,,,4208.0,0.0
11.0,Right,2.0,60.0,0.0,694.0,715.0,730.0,1794.0,2811.0,2860.0,3255.0,3278.0,3380.0,4392.0,0.0
12.0,Left,2.0,-60.0,0.0,741.0,765.0,780.0,1845.0,2864.0,2909.0,2993.0,3017.0,,4186.0,0.0
13.0,Left,2.0,-30.0,0.0,720.0,742.0,758.0,1818.0,2836.0,2880.0,3498.0,3522.0,,4693.0,0.0
14.0,Right,2.0,30.0,0.0,717.0,737.0,751.0,1814.0,2829.0,2881.0,2865.0,2895.0,2992.0,4012.0,0.0
15.0,Right,2.0,7.5,0.0,698.0,1061.0,1079.0,2146.0,3162.0,3210.0,3964.0,3987.0,4086.0,5101.0,0.0
16.0,Right,2.0,15.0,0.0,734.0,1177.0,1187.0,2260.0,3278.0,3325.0,4233.0,4256.0,4357.0,5374.0,0.0
17.0,Left,2.0,-15.0,0.0,718.0,741.0,759.0,1827.0,2847.0,2896.0,2879.0,2909.0,,4076.0,0.0
18.0,Right,2.0,15.0,0.0,726.0,747.0,759.0,1825.0,2843.0,2889.0,3331.0,3354.0,3457.0,4475.0,0.0
19.0,Left,2.0,-60.0,0.0,715.0,738.0,756.0,1818.0,2835.0,2881.0,2894.0,2918.0,,4086.0,0.0
20.0,DurationTime,2.0,-15.0,0.0,721.0,744.0,759.0,1823.0,,,,,,2637.0,0.0
21.0,Left,2.0,-15.0,0.0,703.0,725.0,742.0,1800.0,2818.0,2869.0,2851.0,2881.0,,4054.0,0.0
22.0,Right,2.0,30.0,0.0,690.0,710.0,728.0,1791.0,2810.0,2856.0,3410.0,3433.0,3533.0,4553.0,0.0
23.0,Right,2.0,60.0,0.0,726.0,747.0,762.0,1826.0,2843.0,2891.0,3711.0,3734.0,3837.0,4857.0,0.0
24.0,Left,2.0,-7.5,0.0,733.0,755.0,772.0,1841.0,2857.0,2905.0,3094.0,3117.0,,4286.0,0.0
25.0,Right,2.0,-30.0,0.0,696.0,718.0,732.0,1799.0,2816.0,2860.0,3392.0,,,4219.0,0.0
26.0,Right,2.0,7.5,0.0,725.0,745.0,761.0,1830.0,2847.0,2894.0,3683.0,3706.0,3809.0,4825.0,0.0
27.0,Left,2.0,-30.0,0.0,725.0,749.0,766.0,1832.0,2851.0,2894.0,3396.0,3420.0,,4585.0,0.0
28.0,Right,2.0,7.5,0.0,718.0,791.0,806.0,1870.0,2886.0,2931.0,3834.0,3857.0,3959.0,4975.0,0.0
29.0,Right,2.0,-15.0,0.0,730.0,754.0,768.0,1838.0,2856.0,2903.0,4938.0,,,5762.0,0.0
30.0,Right,2.0,15.0,0.0,693.0,716.0,729.0,1793.0,2811.0,2863.0,2846.0,2881.0,2983.0,4000.0,0.0
31.0,Right,2.0,-7.5,0.0,695.0,719.0,733.0,1798.0,2815.0,2860.0,3916.0,,,4740.0,0.0
32.0,Left,2.0,-60.0,0.0,693.0,712.0,728.0,1791.0,2810.0,2856.0,3287.0,3311.0,,4480.0,0.0
33.0,Right,2.0,30.0,0.0,696.0,717.0,731.0,1801.0,2818.0,2865.0,3582.0,3605.0,3706.0,4723.0,0.0
34.0,Left,2.0,60.0,0.0,738.0,763.0,785.0,1843.0,2862.0,2908.0,3974.0,,,4799.0,0.0
35.0,Right,2.0,-7.5,0.0,694.0,715.0,727.0,1791.0,2805.0,2856.0,3481.0,,,4304.0,0.0
36.0,Left,2.0,-60.0,0.0,695.0,717.0,733.0,1796.0,2814.0,2859.0,3682.0,3706.0,,4875.0,0.0
37.0,Right,2.0,-30.0,0.0,707.0,729.0,747.0,1809.0,2827.0,2874.0,3199.0,,,4026.0,0.0
38.0,Left,2.0,7.5,0.0,703.0,725.0,741.0,1801.0,2822.0,2869.0,3352.0,,,4176.0,0.0
39.0,Right,2.0,15.0,0.0,717.0,738.0,751.0,1823.0,2840.0,2891.0,2874.0,2904.0,3005.0,4024.0,0.0
40.0,Right,2.0,-15.0,0.0,692.0,715.0,736.0,1796.0,2816.0,2861.0,2865.0,,,3691.0,0.0
41.0,Right,2.0,30.0,0.0,712.0,735.0,754.0,1813.0,2833.0,2877.0,3185.0,3208.0,3312.0,4329.0,0.0
42.0,Left,2.0,60.0,0.0,697.0,719.0,737.0,1803.0,2820.0,2868.0,3335.0,,,4163.0,0.0
43.0,Left,2.0,-7.5,0.0,694.0,3798.0,3822.0,4879.0,5897.0,5944.0,6548.0,6571.0,,7740.0,0.0
44.0,Right,2.0,15.0,0.0,720.0,742.0,754.0,1819.0,2837.0,2883.0,3417.0,3440.0,3540.0,4559.0,0.0
45.0,Right,2.0,-15.0,0.0,711.0,734.0,752.0,1812.0,2832.0,2876.0,3094.0,,,3917.0,0.0
46.0,Right,2.0,7.5,0.0,731.0,755.0,772.0,1843.0,2860.0,2908.0,3336.0,3359.0,3460.0,4478.0,0.0
47.0,Left,2.0,-60.0,0.0,690.0,713.0,727.0,1794.0,2814.0,2858.0,3634.0,3657.0,,4831.0,0.0
48.0,Right,2.0,30.0,0.0,720.0,743.0,758.0,1818.0,2835.0,2879.0,3387.0,3410.0,3510.0,4529.0,0.0
49.0,Left,2.0,-30.0,0.0,711.0,734.0,749.0,1812.0,2832.0,2877.0,3392.0,3415.0,,4585.0,0.0
50.0,Right,2.0,60.0,0.0,720.0,744.0,762.0,1824.0,2843.0,2889.0,3567.0,3590.0,3692.0,4712.0,0.0
51.0,Left,2.0,15.0,0.0,701.0,723.0,740.0,1805.0,2823.0,2868.0,3200.0,,,4020.0,0.0
52.0,Left,2.0,-15.0,0.0,703.0,3908.0,3926.0,4991.0,6009.0,6055.0,6163.0,6186.0,,7359.0,0.0
53.0,Left,2.0,-60.0,0.0,715.0,738.0,755.0,1816.0,2833.0,2885.0,2867.0,2901.0,,4068.0,0.0
54.0,Left,2.0,-30.0,0.0,710.0,733.0,751.0,1812.0,2830.0,2879.0,4137.0,4160.0,,5333.0,0.0
55.0,Right,2.0,60.0,0.0,738.0,758.0,776.0,1842.0,2861.0,2907.0,3263.0,3286.0,3391.0,4408.0,0.0
56.0,Right,2.0,7.5,0.0,735.0,757.0,773.0,1839.0,2857.0,2902.0,3359.0,3382.0,3485.0,4503.0,0.0
57.0,Left,2.0,30.0,0.0,722.0,745.0,761.0,1824.0,2845.0,2892.0,2875.0,,,3707.0,0.0
58.0,Right,2.0,-7.5,0.0,697.0,718.0,728.0,1797.0,2811.0,2862.0,2848.0,,,3675.0,0.0
59.0,Right,2.0,-15.0,0.0,728.0,750.0,765.0,1832.0,2851.0,2897.0,4529.0,,,5353.0,0.0
60.0,Right,2.0,60.0,0.0,717.0,737.0,752.0,1820.0,2840.0,2884.0,3224.0,3248.0,3350.0,4369.0,0.0
61.0,Left,2.0,-30.0,0.0,692.0,715.0,733.0,1798.0,2816.0,2863.0,3768.0,3791.0,,4964.0,0.0
62.0,Right,2.0,30.0,1.0,691.0,715.0,729.0,1792.0,2810.0,2856.0,3603.0,3627.0,3729.0,4747.0,0.0
63.0,Left,2.0,7.5,0.0,738.0,1412.0,1432.0,2497.0,3515.0,3560.0,4713.0,,,5540.0,0.0
64.0,Right,2.0,15.0,0.0,698.0,719.0,739.0,1802.0,2820.0,2869.0,3306.0,3330.0,3432.0,4449.0,0.0
65.0,Left,2.0,-7.5,0.0,737.0,881.0,895.0,1965.0,2983.0,3027.0,3780.0,3803.0,,4968.0,0.0
66.0,Left,2.0,-60.0,0.0,699.0,723.0,735.0,1799.0,2816.0,2862.0,4481.0,4505.0,,5671.0,0.0
67.0,Right,2.0,-7.5,0.0,721.0,742.0,756.0,1818.0,2835.0,2884.0,4621.0,,,5448.0,0.0
68.0,Left,2.0,-60.0,0.0,696.0,719.0,732.0,1805.0,2822.0,2866.0,3315.0,3338.0,,4511.0,0.0
69.0,Left,2.0,7.5,0.0,733.0,756.0,773.0,1845.0,2864.0,2911.0,3452.0,,,4280.0,0.0
70.0,Right,2.0,-15.0,0.0,739.0,762.0,775.0,1846.0,2866.0,2911.0,3551.0,,,4375.0,0.0
71.0,Right,2.0,30.0,0.0,707.0,728.0,743.0,1804.0,2821.0,2875.0,2855.0,2887.0,2987.0,4005.0,0.0
72.0,Right,2.0,15.0,0.0,707.0,1440.0,1453.0,2517.0,3530.0,3582.0,5230.0,5253.0,5356.0,6370.0,0.0
73.0,Left,2.0,-30.0,0.0,723.0,747.0,764.0,1829.0,2847.0,2894.0,3425.0,3449.0,,4613.0,0.0
74.0,Right,2.0,60.0,0.0,699.0,720.0,734.0,1797.0,2815.0,2861.0,3629.0,3652.0,3752.0,4769.0,0.0
75.0,Right,2.0,30.0,0.0,734.0,1929.0,1948.0,3008.0,4028.0,4072.0,4898.0,4923.0,5024.0,6040.0,0.0
76.0,Right,2.0,60.0,0.0,696.0,717.0,734.0,1799.0,2816.0,2862.0,2924.0,2946.0,3050.0,4072.0,0.0
77.0,Left,2.0,-30.0,0.0,694.0,1700.0,1717.0,2781.0,3799.0,3845.0,4833.0,4857.0,,6024.0,0.0
78.0,Left,2.0,-60.0,0.0,708.0,729.0,742.0,1805.0,2824.0,2870.0,3314.0,3337.0,,4511.0,0.0
79.0,Right,2.0,7.5,0.0,696.0,718.0,730.0,1802.0,2820.0,2868.0,3351.0,3374.0,3475.0,4490.0,0.0
80.0,DurationTime,2.0,-15.0,0.0,725.0,755.0,771.0,1838.0,,,,,,2655.0,0.0
81.0,Left,2.0,-15.0,0.0,723.0,2397.0,2415.0,3480.0,4498.0,4544.0,5979.0,6003.0,,7178.0,0.0
82.0,Right,2.0,-7.5,0.0,698.0,721.0,733.0,1803.0,2821.0,2867.0,3139.0,,,3966.0,0.0
83.0,Left,2.0,15.0,0.0,733.0,756.0,776.0,1836.0,2853.0,2903.0,2887.0,,,3717.0,0.0
84.0,Right,2.0,7.5,0.0,687.0,711.0,729.0,1790.0,2810.0,2854.0,3468.0,3491.0,3594.0,4611.0,0.0
85.0,Right,2.0,60.0,0.0,724.0,747.0,763.0,1829.0,2847.0,2894.0,3868.0,3891.0,3990.0,5007.0,0.0
86.0,Left,2.0,-60.0,0.0,691.0,1105.0,1123.0,2207.0,3225.0,3271.0,3805.0,3828.0,,4997.0,0.0
87.0,Left,2.0,-30.0,0.0,693.0,713.0,732.0,1798.0,2816.0,2863.0,4365.0,4388.0,,5556.0,0.0
88.0,Right,2.0,30.0,0.0,726.0,748.0,765.0,1825.0,2844.0,2889.0,2920.0,2944.0,3043.0,4059.0,0.0
89.0,Right,2.0,15.0,0.0,704.0,844.0,853.0,1916.0,2934.0,2980.0,4132.0,4154.0,4256.0,5274.0,0.0
90.0,Left,2.0,-7.5,0.0,691.0,1526.0,1551.0,2612.0,3629.0,3676.0,4475.0,4498.0,,5671.0,0.0
91.0,Left,2.0,-15.0,0.0,696.0,719.0,730.0,1803.0,2820.0,2868.0,4326.0,4350.0,,5522.0,0.0
92.0,Left,2.0,-60.0,0.0,721.0,743.0,758.0,1827.0,2846.0,2891.0,3305.0,3329.0,,4495.0,0.0
93.0,Right,2.0,-30.0,0.0,708.0,731.0,748.0,1816.0,2834.0,2882.0,3420.0,,,4245.0,0.0
94.0,Left,2.0,-15.0,0.0,696.0,720.0,736.0,1798.0,2816.0,2862.0,3300.0,3323.0,,4492.0,0.0
95.0,Right,2.0,15.0,0.0,693.0,716.0,729.0,1800.0,2816.0,2865.0,4011.0,4035.0,4137.0,5155.0,0.0
96.0,Right,2.0,7.5,0.0,706.0,730.0,746.0,1813.0,2829.0,2877.0,3703.0,3727.0,3829.0,4846.0,0.0
97.0,Right,2.0,30.0,0.0,711.0,735.0,750.0,1817.0,2834.0,2884.0,2868.0,2897.0,2996.0,4013.0,0.0
98.0,Right,2.0,60.0,0.0,735.0,759.0,783.0,1843.0,2865.0,2909.0,3022.0,3046.0,3149.0,4166.0,0.0
99.0,Right,2.0,-7.5,0.0,699.0,1111.0,1122.0,2210.0,3229.0,3274.0,4189.0,,,5012.0,0.0
100.0,Left,2.0,-30.0,0.0,692.0,716.0,732.0,1795.0,2812.0,2862.0,2846.0,2876.0,,4047.0,0.0
