Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,StartTimeOnSet,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward,EndTimeOnSet
1.0,DurationTime,10.0,30.0,0,1.0,276.0,2090.0,2112.0,3173.0,,,,,,3989.0,0.0,1888
2.0,DurationTime,10.0,15.0,5428,0.0,470.0,1263.0,1279.0,2341.0,,,,,,3156.0,0.0,7320
3.0,DurationTime,2.0,-15.0,20626,0.0,716.0,11021.0,11041.0,12099.0,,,,,,12915.0,0.0,22516
4.0,Right,2.0,15.0,28518,0.0,693.0,3718.0,3733.0,4796.0,5819.0,5876.0,6499.0,6525.0,6625.0,7639.0,0.0,32439
5.0,Left,2.0,-60.0,35431,0.0,687.0,710.0,728.0,1792.0,2813.0,2856.0,3195.0,3217.0,,4434.0,0.0,39153
6.0,Right,2.0,-15.0,42144,0.0,689.0,710.0,720.0,1788.0,2806.0,2851.0,2919.0,,,3739.0,0.0,45169
7.0,Right,2.0,-30.0,48208,0.0,731.0,755.0,774.0,1841.0,2857.0,2904.0,3820.0,,,4646.0,0.0,52091
8.0,DurationTime,10.0,60.0,54823,0.0,428.0,450.0,464.0,1534.0,,,,,,2345.0,0.0,56715
9.0,Left,10.0,-30.0,59429,0.0,247.0,431.0,448.0,1508.0,2526.0,2572.0,3283.0,3307.0,,4518.0,0.0,63546
10.0,Right,2.0,-7.5,66547,0.0,695.0,719.0,739.0,1796.0,2813.0,2860.0,4474.0,,,5301.0,0.0,71121
11.0,Right,10.0,-60.0,74681,0.0,450.0,1276.0,1290.0,2359.0,3377.0,3425.0,4323.0,,,5149.0,0.0,78552
12.0,DurationTime,10.0,-15.0,81304,0.0,443.0,466.0,482.0,1552.0,,,,,,2366.0,0.0,83197
13.0,Right,10.0,30.0,86816,0.0,467.0,1340.0,1357.0,2418.0,3434.0,3481.0,4634.0,4657.0,4759.0,5775.0,0.0,91251
14.0,Right,2.0,60.0,94268,0.0,716.0,740.0,758.0,1818.0,2832.0,2882.0,3260.0,3283.0,3386.0,4402.0,0.0,97929
