Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
1,1,1,0000000000001,0000000000001,0,1888
2,2,2,0000000000010,0000000000010,5428,7320
3,2,2,0000000000011,0000000000010,20626,22516
4,4,4,0000000000100,0000000000100,28518,32439
5,4,4,0000000000101,0000000000100,35431,39153
6,4,4,0000000000110,0000000000100,42144,45169
7,4,4,0000000000111,0000000000100,48208,52091
8,8,8,0000000001000,0000000001000,54823,56715
9,8,8,0000000001001,0000000001000,59429,63546
10,8,8,0000000001010,0000000001000,66547,71121
11,8,8,0000000001011,0000000001000,74681,78552
12,8,8,0000000001100,0000000001000,81304,83197
13,8,8,0000000001101,0000000001000,86816,91251
14,8,8,0000000001110,0000000001000,94268,97929
15,8,8,0000000001111,0000000001000,101651,104915
16,16,16,0000000010000,0000000010000,107560,112185
17,16,16,0000000010001,0000000010000,115325,120227
18,16,16,0000000010010,0000000010000,122999,127183
19,16,16,0000000010011,0000000010000,129964,134249
20,16,16,0000000010100,0000000010000,137261,141093
21,16,16,0000000010101,0000000010000,144104,147380
22,16,16,0000000010110,0000000010000,150161,153743
23,16,16,0000000010111,0000000010000,156743,159709
24,16,16,0000000011000,0000000010000,162471,166804
25,16,16,0000000011001,0000000010000,169817,174228
26,16,16,0000000011010,0000000010000,177000,180595
27,16,16,0000000011011,0000000010000,183613,188236
28,16,16,0000000011100,0000000010000,191408,195602
29,16,16,0000000011101,0000000010000,198373,202476
30,16,16,0000000011110,0000000010000,205237,208906
31,16,16,0000000011111,0000000010000,211910,214864
32,32,32,0000000100000,0000000100000,217636,220595
33,32,32,0000000100001,0000000100000,223628,226621
34,34,32,0000000100010,0000000100010,229380,232643
35,34,32,0000000100011,0000000100010,235658,239376
36,32,32,0000000100100,0000000100000,242374,245991
37,32,32,0000000100101,0000000100000,248992,252906
38,34,32,0000000100110,0000000100010,255686,259687
39,34,32,0000000100111,0000000100010,262261,265232
40,40,32,0000000101000,0000000101000,268233,272143
41,40,32,0000000101001,0000000101000,275165,278888
42,32,32,0000000101010,0000000100000,281927,284891
43,40,32,0000000101011,0000000101000,287925,291296
44,32,32,0000000101100,0000000100000,295236,300639
45,32,32,0000000101101,0000000100000,303400,307053
46,32,32,0000000101110,0000000100000,309622,312904
47,32,32,0000000101111,0000000100000,315464,319347
48,32,32,0000000110000,0000000100000,322128,325413
49,32,32,0000000110001,0000000100000,328431,332363
50,34,32,0000000110010,0000000100010,335406,338824
51,34,32,0000000110011,0000000100010,341917,346227
52,32,32,0000000110100,0000000100000,349259,352945
53,32,32,0000000110101,0000000100000,355704,358669
54,34,32,0000000110110,0000000100010,361691,363579
55,34,32,0000000110111,0000000100010,366154,369424
56,40,32,0000000111000,0000000101000,372453,376456
57,40,32,0000000111001,0000000101000,379031,382919
58,40,32,0000000111010,0000000101000,385796,390225
59,40,32,0000000111011,0000000101000,392787,396648
60,32,32,0000000111100,0000000100000,399658,403851
61,32,32,0000000111101,0000000100000,407592,411967
62,34,32,0000000111110,0000000100010,414714,418799
63,32,32,0000000111111,0000000100000,421819,424783
64,64,64,0000001000000,0000001000000,427775,431728
65,64,64,0000001000001,0000001000000,434730,438346
66,64,64,0000001000010,0000001000000,441352,444903
67,64,64,0000001000011,0000001000000,447662,451417
68,64,64,0000001000100,0000001000000,454415,458470
69,64,64,0000001000101,0000001000000,461348,465200
70,64,64,0000001000110,0000001000000,467771,471895
71,68,64,0000001000111,0000001000100,474786,478061
72,64,64,0000001001000,0000001000000,481071,485004
73,64,64,0000001001001,0000001000000,487585,491279
74,64,64,0000001001010,0000001000000,494281,497783
75,64,64,0000001001011,0000001000000,500555,503539
76,64,64,0000001001100,0000001000000,506592,511065
77,64,64,0000001001101,0000001000000,513638,518011
78,64,64,0000001001110,0000001000000,520772,524432
79,64,64,0000001001111,0000001000000,527013,530705
80,64,64,0000001010000,0000001000000,533656,537609
81,64,64,0000001010001,0000001000000,540599,543959
82,64,64,0000001010010,0000001000000,546712,550146
83,64,64,0000001010011,0000001000000,553144,556697
84,64,64,0000001010100,0000001000000,559728,563712
85,64,64,0000001010101,0000001000000,566713,570735
86,64,64,0000001010110,0000001000000,573487,577901
87,64,64,0000001010111,0000001000000,580901,584553
88,64,64,0000001011000,0000001000000,592424,594316
89,64,64,0000001011001,0000001000000,597094,598980
